bet_id,p_blend,edge,price,market,game_id,k_mod,k_raw,k_eff,k_corr,stake,rank_in_game,cum_risk
2021_17_DEN_LAC_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_DEN_LAC,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_18_CIN_CLE_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_CIN_CLE,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_18_CIN_CLE_spread,0.5253164556962026,0.0028768699654776,-110.0,spread,2021_18_CIN_CLE,0.21,0.006041426927503129,0.0,0.0,0.0,2.0,0.35005779420142885
2021_18_CIN_CLE_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_CIN_CLE,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_18_CIN_CLE_spread,0.5253164556962026,0.0028768699654776,-110.0,spread,2021_18_CIN_CLE,0.21,0.006041426927503129,0.0,0.0,0.0,4.0,0.35005779420142885
2021_18_DAL_PHI_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_DAL_PHI,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_18_DAL_PHI_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_DAL_PHI,0.21,0.015107913669064053,0.0,0.0,0.0,2.0,0.35005779420142885
2021_18_DAL_PHI_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_DAL_PHI,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_18_DAL_PHI_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_DAL_PHI,0.21,0.015107913669064053,0.0,0.0,0.0,4.0,0.35005779420142885
2021_18_GB_DET_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_18_GB_DET,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
2021_18_GB_DET_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_18_GB_DET,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_18_GB_DET_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_18_GB_DET,0.21,0.0,0.0,0.0,0.0,3.0,0.35005779420142885
2021_18_GB_DET_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_18_GB_DET,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_17_CLE_PIT_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_17_CLE_PIT,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_17_CAR_NO_spread,0.525983434928774,0.0041501939549321,-110.0,spread,2021_17_CAR_NO,0.21,0.008715407305357498,0.0,0.0,0.0,4.0,0.35005779420142885
2021_18_KC_DEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_KC_DEN,0.21,0.015107913669064053,0.0,0.0,0.0,2.0,0.35005779420142885
2021_17_CAR_NO_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_CAR_NO,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_16_DEN_LV_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_16_DEN_LV,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_16_DET_ATL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_16_DET_ATL,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
