game_id,team,opponent,season,week,market_spread,pred_margin_ols,edge_margin_pts,p_cover,kelly_spread,edge_spread_ev,market_total,pred_total_ols_home,edge_total_pts,p_over,kelly_total,edge_total_ev
2022_17_ARI_ATL,ATL,ARI,2022,17,7.0,6.860846644142851,-0.13915335585714939,0.495729761768159,0.0,-0.05360681844260545,41.0,40.01012064348407,-0.9898793565159281,0.4696520422923168,0.0,-0.10339155562375896
2022_17_CAR_TB,TB,CAR,2022,17,3.5,2.8675275341094246,-0.6324724658905754,0.48059842282191734,0.0,-0.08249392006724876,40.5,41.766678544676125,1.2666785446761253,0.538810243630513,0.03150151162407726,0.028637737840070232
2022_17_CHI_DET,DET,CHI,2022,17,4.5,5.015631221728506,0.5156312217285057,0.5158194746771618,0.0,-0.015253730161781998,52.5,52.07785836989092,-0.42214163010908123,0.4870476498215979,0.0,-0.07018175943149496
2022_17_CLE_WAS,WAS,CLE,2022,17,1.0,0.6493787834622335,-0.35062121653776646,0.48924148684137214,0.0,-0.06599352512101686,41.5,41.68457565221342,0.1845756522134181,0.5056640429000142,0.0,-0.03464137264542744
2022_17_DAL_TEN,TEN,DAL,2022,17,-14.0,-14.459431878227637,-0.45943187822763676,0.4859039496354538,0.0,-0.07236518705958822,41.0,40.53109570001041,-0.46890429998958894,0.48561344645088333,0.0,-0.07291978404831367
2022_17_DEN_KC,KC,DEN,2022,17,13.5,13.984440269274971,0.4844402692749714,0.5148629988987853,0.0,-0.017079729375046315,46.0,48.398364758132296,2.3983647581322955,0.5731853061736556,0.10368914296467675,0.09426285724061523
2022_17_IND_NYG,NYG,IND,2022,17,5.5,5.685906084647366,0.1859060846473657,0.5057048668898316,0.0,-0.0345634359375942,38.5,38.28451079475788,-0.21548920524212178,0.4933873985957509,0.0,-0.0580786026808392
2022_17_JAX_HOU,HOU,JAX,2022,17,-3.5,-3.960635698524365,-0.4606356985243649,0.4858670300810243,0.0,-0.0724356698453173,43.0,44.64421678882722,1.6442167888272223,0.5503233035793184,0.05567893751656857,0.05061721592415325
2022_17_LA_LAC,LAC,LA,2022,17,6.5,6.582331698909734,0.08233169890973357,0.5025265673956556,0.0,-0.04063109860829389,41.5,43.281768734839225,1.7817687348392255,0.5545079728300246,0.06446674294305166,0.05860612994822878
2022_17_MIA_NE,NE,MIA,2022,17,3.0,2.564778761867525,-0.43522123813247493,0.48664648272811184,0.0,-0.0709476238826956,41.5,42.249204939101816,0.7492049391018156,0.5229787812718085,0.0,-0.001585963026547399
2022_17_MIN_GB,GB,MIN,2022,17,3.0,3.1635931603221303,0.16359316032213034,0.5050201927649967,0.0,-0.035870541085006424,47.5,48.32171709749605,0.8217170974960482,0.5251999639113863,0.0029199242139113127,0.002654476558101193
2022_17_NO_PHI,PHI,NO,2022,17,5.5,5.762476861014775,0.2624768610147754,0.5080543079544456,0.0,-0.030078139359694722,41.5,42.86053961875869,1.3605396187586933,0.541675966073578,0.037519528754513844,0.03410866250410349
2022_17_NYJ_SEA,SEA,NYJ,2022,17,-1.0,-0.6813145325233316,0.31868546747666837,0.5097787980344891,0.0,-0.026785931025066267,43.0,42.876502711139054,-0.12349728886094624,0.49621018853792676,0.0,-0.05268964006395804
2022_17_PIT_BAL,BAL,PIT,2022,17,1.0,1.055950890421851,0.055950890421851085,0.5017170082233732,0.0,-0.04217662066446942,35.5,37.19852998104645,1.6985299810464483,0.5519763398844734,0.059150313757394025,0.05377301250672184
2022_17_SF_LV,LV,SF,2022,17,-10.0,-10.171050660892831,-0.17105066089283127,0.49475097140239394,0.0,-0.05547541823179347,41.5,42.40046828944715,0.9004682894471472,0.5276113706129759,0.00798387828724943,0.007258071170226754
