game_id,team,opponent,season,week,market_spread,pred_margin_ols,edge_margin_pts,p_cover,kelly_spread,edge_spread_ev,market_total,pred_total_ols_home,edge_total_pts,p_over,kelly_total,edge_total_ev
2022_16_ATL_BAL,BAL,ATL,2022,16,6.5,6.5407107549669,0.04071075496690035,0.5012493242213361,0.0,-0.043069471941085735,35.0,34.431512372092925,-0.568487627907075,0.48255988549585765,0.0,-0.0787493095079081
2022_16_BUF_CHI,CHI,BUF,2022,16,-8.0,-8.04262517773331,-0.04262517773330998,0.49869192652787586,0.0,-0.04795177662860062,40.0,38.49685632544456,-1.5031436745554387,0.4539743050646526,0.0,-0.13332178124020877
2022_16_CIN_NE,NE,CIN,2022,16,-3.0,-3.4938396498099364,-0.49383964980993644,0.484848758269795,0.0,-0.07437964330311864,42.0,42.97533525186977,0.9753352518697724,0.5299029033131939,0.012796096957707137,0.011632815416097397
2022_16_DEN_LA,LA,DEN,2022,16,-3.0,-2.968514772151737,0.03148522784826291,0.5009662135628398,0.0,-0.04360995592548772,36.5,38.40067727804258,1.9006772780425791,0.5581205935072289,0.07205324636518064,0.0655029512410733
2022_16_DET_CAR,CAR,DET,2022,16,-2.5,-2.7753453057513418,-0.27534530575134175,0.4915508714104495,0.0,-0.06158470003459643,43.5,44.83546909598542,1.3354690959854167,0.5409107303533184,0.03591253374196859,0.03264775794724417
2022_16_GB_MIA,MIA,GB,2022,16,3.5,3.669616841783645,0.169616841783645,0.5052050315232942,0.0,-0.03551766709189286,49.0,49.101038137002845,0.10103813700284547,0.5031006137670846,0.0,-0.03953519189920218
2022_16_HOU_TEN,TEN,HOU,2022,16,3.0,3.1998483171617105,0.19984831716171048,0.5061326771674172,0.0,-0.033746707225839945,34.0,35.769404727007206,1.7694047270072062,0.554132070454587,0.06367734795463269,0.05788849814057517
2022_16_JAX_NYJ,NYJ,JAX,2022,16,2.5,2.47292350880579,-0.02707649119420985,0.4991690808205904,0.0,-0.047040845706145584,36.5,37.79577875389404,1.2957787538940408,0.5396989402331057,0.03336777448952198,0.03033434044501998
2022_16_LAC_IND,IND,LAC,2022,16,-3.5,-4.249077846731255,-0.7490778467312547,0.4770251124515666,0.0,-0.08931569441064569,44.5,44.96597509346591,0.46597509346590726,0.5142967205382373,0.0,-0.018160806245183403
2022_16_LV_PIT,PIT,LV,2022,16,2.5,2.4439916032211944,-0.05600839677880565,0.4982812270455129,0.0,-0.04873583927674807,38.5,39.51116006440032,1.0111600644003218,0.5309990859076654,0.015098080406097381,0.01372552764190671
2022_16_NO_CLE,CLE,NO,2022,16,3.0,3.0426344804581,0.04263448045810003,0.501308358951377,0.0,-0.04295676927464387,32.0,31.44622358481796,-0.553776415182039,0.48301092085720837,0.0,-0.07788824199987487
2022_16_NYG_MIN,MIN,NYG,2022,16,4.5,4.492050933046348,-0.007949066953652384,0.49975606010000473,0.0,-0.04592024889999097,48.0,47.7083399075381,-0.2916600924619033,0.49105032446712066,0.0,-0.0625402896536787
2022_16_PHI_DAL,DAL,PHI,2022,16,4.0,3.904020480618808,-0.09597951938119209,0.4970546199635429,0.0,-0.051077543705963624,48.0,49.84998575981875,1.8499857598187504,0.5565810820102499,0.06882027222152479,0.0625638838377498
2022_16_SEA_KC,KC,SEA,2022,16,10.5,10.169207300996453,-0.33079269900354724,0.48984977276275055,0.0,-0.06483225199838533,50.5,50.71427651787041,0.21427651787040958,0.5065753916982262,0.0,-0.032901524939750015
2022_16_TB_ARI,ARI,TB,2022,16,-7.5,-6.618536989401775,0.8814630105982246,0.5270295073393136,0.006761965412558657,0.006147241284144234,41.5,40.65864824096348,-0.8413517590365203,0.47419872162276494,0.0,-0.0947115314474487
2022_16_WAS_SF,SF,WAS,2022,16,6.5,6.759882964362885,0.2598829643628848,0.507974722860671,0.0,-0.030230074538718954,37.5,38.696721562536005,1.1967215625360055,0.5366730298508219,0.027013362686725936,0.02455760244247812
