season,week,game_id,bet_type,pick,bet_line,price,p_cal,ev,edge_pts,stake,won,pnl,p_blend
2019,1,2019_01_ATL_MIN,spread,ATL,3.5,-110.0,0.5630651548282231,0.1824368251392685,-6.422420361741601,60.0,0,-60.0,0.5630651548282231
2019,1,2019_01_ATL_MIN,spread,MIN,3.5,-110.0,0.5500081784575162,0.1550171747607839,0.5733189255667952,59.64,1,54.21818181818182,0.5500081784575162
2019,1,2019_01_BAL_MIA,spread,MIA,-7.0,-110.0,0.6291877472465597,0.3212942692177754,14.570899467691618,59.96530909090909,0,-59.96530909090909,0.6291877472465597
2019,1,2019_01_BAL_MIA,spread,MIA,-7.0,-110.0,0.5635222788774157,0.183396785642573,0.5790339323319111,59.60551723636364,0,-59.60551723636364,0.6291877472465597
2019,1,2019_01_BUF_NYJ,spread,BUF,2.5,-110.0,0.5547608767240593,0.1649978411205245,-4.423554006933459,59.24788413294546,1,53.86171284813224,0.5547608767240593
2019,1,2019_01_BUF_NYJ,spread,NYJ,2.5,-110.0,0.5461291127718677,0.1468711368209222,0.5733657131690304,55.84326083638633,0,-55.84326083638633,0.5461291127718677
2019,1,2019_01_CIN_SEA,spread,CIN,9.5,-110.0,0.6098818256534198,0.2807518338721815,-18.419192215902783,59.235994845015945,1,53.85090440455995,0.6098818256534198
2019,1,2019_01_CIN_SEA,spread,SEA,9.5,-110.0,0.5730082564650174,0.2033173385765365,0.5694646614891692,59.559100271443306,0,-59.559100271443306,0.5730082564650174
2019,1,2019_01_DEN_OAK,spread,OAK,-3.0,-110.0,0.561481754116427,0.1791116836444967,6.5733719016311305,23.43859846653986,1,21.30781678776351,0.561481754116427
2019,2,2019_02_ARI_BAL,spread,ARI,13.0,-110.0,0.6330140090573526,0.3293294190204405,-25.27120695568883,59.32959257054123,1,53.93599324594657,0.6330140090573526
2019,2,2019_02_ARI_BAL,spread,BAL,13.0,-110.0,0.5863060532755758,0.2312427118787092,0.7094495635843678,59.6532085300169,0,-59.6532085300169,0.5863060532755758
2019,2,2019_02_CHI_DEN,spread,DEN,-3.0,-110.0,0.5617998291728256,0.1797796412629337,6.716543034100857,59.295289278836805,1,53.90480843530619,0.5617998291728256
2019,2,2019_02_CHI_DEN,spread,DEN,-3.0,-110.0,0.5484001741469325,0.1516403657085584,0.7208092810484938,59.61871812944864,1,54.19883466313512,0.5617998291728256
2019,2,2019_02_CLE_NYJ,spread,NYJ,-6.5,-110.0,0.625486348575878,0.3135213320093439,13.714504681437488,59.94391113742745,0,-59.94391113742745,0.625486348575878
2019,2,2019_02_CLE_NYJ,spread,NYJ,-6.5,-110.0,0.5619263542537691,0.1800453439329152,0.7239349917415456,59.584247670602885,0,-59.584247670602885,0.625486348575878
2019,2,2019_02_IND_TEN,spread,IND,3.0,-110.0,0.5586009024139513,0.1730618950692978,-5.2790006826410245,59.22674218457927,1,53.84249289507206,0.5586009024139513
