season,week,game_id,team,opponent,is_home,__source_file,market_spread,market_total,edge_margin_pts,edge_total_pts,p_cover,p_over,kelly_spread,kelly_total,edge_spread_ev,edge_total_ev,p_cal_spread,p_cal_total
2019,10,2019_10_ATL_NO,NO,ATL,,edges_all_s2019.csv,14.0,51.5,0.2954697926576646,1.0769811078188312,0.509066557302811,0.5330124873371284,0.0,0.0193262234079695,-0.0281456633309971,0.017569294007245,0.4189344576466079,0.5120738636363638
2019,10,2019_10_ATL_NO,NO,ATL,,edges_all_s2019.csv,14.0,51.5,0.2954697926576646,1.0769811078188312,0.509066557302811,0.5330124873371284,0.0,0.0193262234079695,-0.0281456633309971,0.017569294007245,0.4189344576466079,0.5120738636363638
2019,10,2019_10_ATL_NO,NO,ATL,,edges_all_s2019.csv,14.0,51.5,0.2954697926576646,1.0769811078188312,0.509066557302811,0.5330124873371284,0.0,0.0193262234079695,-0.0281456633309971,0.017569294007245,0.4189344576466079,0.5120738636363638
2019,10,2019_10_ATL_NO,NO,ATL,,edges_all_s2019.csv,14.0,51.5,0.2954697926576646,1.0769811078188312,0.509066557302811,0.5330124873371284,0.0,0.0193262234079695,-0.0281456633309971,0.017569294007245,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.4189344576466079,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.3517915309446254,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.3517915309446254,0.5120738636363638
2019,10,2019_10_BUF_CLE,CLE,BUF,,edges_all_s2019.csv,3.0,42.0,-0.644488609009898,1.351502239123839,0.4802301175006584,0.5414001328496032,0.0,0.0369402789841667,-0.0831970484078338,0.0335820718037879,0.3517915309446254,0.5120738636363638
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.4189344576466079,0.5120738636363638
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.4189344576466079,0.52
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.4189344576466079,0.52
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.3517915309446254,0.5120738636363638
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.3517915309446254,0.52
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.3517915309446254,0.52
2019,10,2019_10_DET_CHI,CHI,DET,,edges_all_s2019.csv,6.0,38.0,-0.412714127894886,1.2153636638562515,0.4873368106493192,0.5372426595327471,0.0,0.0282095850187688,-0.0696297251240269,0.0256450772897898,0.4189344576466079,0.5120738636363638
