season,week,game_id,bet_type,bet_line,pick,price,edge_pts,p_raw,won,p_cal
2019,10,2019_10_ATL_NO,spread,14.0,ATL,-110,-26.831755304924854,0.01950975053831633,1,0.5668060752806513
2019,10,2019_10_ATL_NO,spread,14.0,NO,-110,1.134934324977639,0.5347845223428848,0,0.5668060752806513
2019,10,2019_10_BUF_CLE,spread,3.0,BUF,-110,-4.846340916811065,0.35465034284656766,0,0.5668060752806513
2019,10,2019_10_BUF_CLE,spread,3.0,CLE,-110,1.146318090599821,0.5351325237186572,0,0.5668060752806513
2019,10,2019_10_DET_CHI,spread,6.0,CHI,-110,1.142005601462695,0.5350006942014477,1,0.5668060752806513
2019,10,2019_10_DET_CHI,spread,6.0,DET,-110,-10.843906224453631,0.20209917993241266,0,0.5668060752806513
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,11.145600130304288,0.8043753235916828,1,0.6406249999999999
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,1.1571475654423455,0.5354635555064058,1,0.5668060752806513
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,3.1502714121526934,0.5957372112051118,1,0.5668060752806513
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,1.1523747790044325,0.5353176655683466,1,0.5668060752806513
2019,10,2019_10_MIN_DAL,spread,3.5,DAL,-110,1.146912931289081,0.5351507072443885,0,0.5668060752806513
2019,10,2019_10_MIN_DAL,spread,3.5,MIN,-110,-5.8449007674431765,0.3264966489831266,1,0.5668060752806513
2019,10,2019_10_SEA_SF,spread,6.5,SEA,-110,-11.841337686492146,0.18118137597232314,1,0.5668060752806513
2019,10,2019_10_SEA_SF,spread,6.5,SF,-110,1.1430586588974059,0.5350328857224051,0,0.5668060752806513
2019,10,2019_10_ARI_TB,spread,-5.5,TB,-110,-1.1583681786735989,0.4644991347289622,1,0.5668060752806513
2019,10,2019_10_ARI_TB,spread,-5.5,TB,-110,-12.145125313268554,0.17508994790773286,1,0.5668060752806513
2019,10,2019_10_ATL_NO,spread,-14.0,NO,-110,-1.1682446950751455,0.4641972565875751,0,0.5668060752806513
2019,10,2019_10_ATL_NO,spread,-14.0,NO,-110,-29.13493432497764,0.012508219216534,0,0.5668060752806513
2019,10,2019_10_BAL_CIN,spread,10.5,CIN,-110,-1.137993295479319,0.4651219623949955,0,0.5668060752806513
2019,10,2019_10_BAL_CIN,spread,10.5,BAL,-110,19.83747434044581,0.9364900325249554,1,0.6923076923076923
2019,10,2019_10_BAL_CIN,spread,-10.5,CIN,-110,22.13799329547932,0.9557087193533178,0,0.6923076923076923
2019,10,2019_10_BAL_CIN,spread,-10.5,CIN,-110,1.162525659554193,0.5356279421925235,0,0.5668060752806513
2019,10,2019_10_BUF_CLE,spread,-3.0,CLE,-110,-1.1536590831889348,0.4646430765908211,1,0.5668060752806513
2019,10,2019_10_BUF_CLE,spread,-3.0,CLE,-110,-7.146318090599821,0.29125682421435983,1,0.5668060752806513
2019,10,2019_10_BUF_CLE,spread,3.0,BUF,-110,-4.846340916811065,0.35465034284656766,0,0.5668060752806513
2019,10,2019_10_BUF_CLE,spread,3.0,CLE,-110,1.146318090599821,0.5351325237186572,0,0.5668060752806513
2019,10,2019_10_CAR_GB,spread,-5.0,GB,-110,-1.1574050641787927,0.46452857365564604,1,0.5668060752806513
2019,10,2019_10_CAR_GB,spread,-5.0,GB,-110,-11.145342631567841,0.1956301482081318,1,0.5668060752806513
2019,10,2019_10_DET_CHI,spread,6.0,CHI,-110,1.142005601462695,0.5350006942014477,1,0.5668060752806513
2019,10,2019_10_DET_CHI,spread,6.0,DET,-110,-10.843906224453631,0.20209917993241266,0,0.5668060752806513
2019,10,2019_10_DET_CHI,spread,-6.0,CHI,-110,-13.142005601462696,0.1560265208863011,1,0.5668060752806513
2019,10,2019_10_DET_CHI,spread,-6.0,CHI,-110,-1.1560937755463687,0.4645686553185606,1,0.5668060752806513
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,11.145600130304288,0.8043753235916828,1,0.6406249999999999
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,1.1571475654423455,0.5354635555064058,1,0.5668060752806513
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,3.1502714121526934,0.5957372112051118,1,0.5668060752806513
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,1.1523747790044325,0.5353176655683466,1,0.5668060752806513
2019,10,2019_10_LA_PIT,spread,4.0,PIT,-110,-1.1455657920062379,0.464890473200647,1,0.5668060752806513
2019,10,2019_10_LA_PIT,spread,4.0,LA,-110,6.8452474166282755,0.7007495417476813,0,0.5668060752806513
2019,10,2019_10_LA_PIT,spread,-4.0,PIT,-110,9.145565792006238,0.7591294730342772,1,0.6406249999999999
2019,10,2019_10_LA_PIT,spread,-4.0,PIT,-110,1.1547525833717245,0.5353903485963436,1,0.5668060752806513
2019,10,2019_10_SEA_SF,spread,-6.5,SF,-110,-1.158662313507854,0.46449014412964595,1,0.5668060752806513
2019,10,2019_10_SEA_SF,spread,-6.5,SF,-110,-14.143058658897406,0.13831353771653937,1,0.5668060752806513
2019,10,2019_10_SEA_SF,spread,6.5,SEA,-110,-11.841337686492146,0.18118137597232314,1,0.5668060752806513
2019,10,2019_10_SEA_SF,spread,6.5,SF,-110,1.1430586588974059,0.5350328857224051,0,0.5668060752806513
2019,11,2019_11_ARI_SF,spread,10.0,ARI,-110,-18.83813571642252,0.07365659334680069,0,0.5668060752806513
2019,11,2019_11_ARI_SF,spread,10.0,SF,-110,1.1383328696254935,0.5348884185492488,0,0.5668060752806513
2019,11,2019_11_BUF_MIA,spread,-7.0,MIA,-110,15.1415554249259,0.8779368681552466,0,0.6406249999999999
2019,11,2019_11_BUF_MIA,spread,-7.0,MIA,-110,1.1581594934424944,0.535494486534789,0,0.5668060752806513
2019,11,2019_11_HOU_BAL,spread,4.0,BAL,-110,1.146774576388716,0.5351464779170405,1,0.5668060752806513
