season,week,game_id,bet_type,pick,bet_line,price,p_cal,ev,edge_pts,stake,won,pnl
2019,1,2019_01_ATL_MIN,spread,ATL,3.5,-110.0,0.5655065395699401,0.18756373309687435,-6.750003105327419,80.0,0,-80.0
2019,1,2019_01_BAL_MIA,spread,MIA,-7.0,-110.0,0.672,0.4112000000000001,14.24999689467258,79.36,0,-79.36
2019,1,2019_01_BUF_NYJ,spread,BUF,2.5,-110.0,0.5655065395699401,0.18756373309687435,-4.750003105327419,78.72512,1,71.5682909090909
2019,1,2019_01_CIN_SEA,spread,CIN,9.5,-110.0,0.5655065395699401,0.18756373309687435,-18.75000310532742,79.29766632727272,1,72.08878757024793
2019,1,2019_01_DEN_OAK,spread,OAK,-3.0,-110.0,0.5655065395699401,0.18756373309687435,6.249996894672581,79.8743766278347,1,72.61306966166791
2019,1,2019_01_DET_ARI,spread,ARI,-2.5,-110.0,0.5655065395699401,0.18756373309687435,5.249996894672581,80.45528118512804,1,73.14116471375276
2019,1,2019_01_GB_CHI,spread,GB,3.5,-110.0,0.5655065395699401,0.18756373309687435,-6.750003105327419,20.260102625709532,1,18.418275114281393
2019,2,2019_02_ARI_BAL,spread,ARI,13.0,-110.0,0.5655065395699401,0.18756373309687435,-25.687503881659275,81.18775670375231,1,73.80705154886574
2019,2,2019_02_CHI_DEN,spread,DEN,-3.0,-110.0,0.5655065395699401,0.18756373309687435,6.312496118340725,81.77821311614323,1,74.34383010558476
2019,2,2019_02_CLE_NYJ,spread,NYJ,-6.5,-110.0,0.6666666666666666,0.4,13.312496118340723,82.37296375698791,0,-82.37296375698791
2019,2,2019_02_IND_TEN,spread,IND,3.0,-110.0,0.5655065395699401,0.18756373309687435,-5.687503881659275,81.71398004693201,1,74.28543640630183
2019,2,2019_02_KC_OAK,spread,OAK,-7.0,-110.0,0.672,0.4112000000000001,14.312496118340723,82.30826353818243,0,-82.30826353818243
2019,2,2019_02_MIN_GB,spread,MIN,3.0,-110.0,0.5655065395699401,0.18756373309687435,-5.687503881659275,81.64979742987697,0,-81.64979742987697
2019,2,2019_02_SF_CIN,spread,SF,1.0,-110.0,0.5655065395699401,0.18756373309687435,-1.687503881659275,20.24914976260951,1,18.408317966008642
2019,3,2019_03_BAL_KC,spread,BAL,4.5,-110.0,0.5655065395699401,0.18756373309687435,-8.62500465799113,81.14386559416603,0,-81.14386559416603
2019,3,2019_03_CHI_WAS,spread,WAS,-5.0,-110.0,0.6256983240223464,0.31396648044692743,10.37499534200887,80.4947146694127,0,-80.4947146694127
2019,3,2019_03_CIN_BUF,spread,CIN,5.5,-110.0,0.5655065395699401,0.18756373309687435,-10.62500465799113,79.85075695205741,1,72.59159722914309
2019,3,2019_03_DEN_GB,spread,DEN,7.0,-110.0,0.5655065395699401,0.18756373309687435,-13.62500465799113,80.43148972989054,0,-80.43148972989054
2019,3,2019_03_HOU_LAC,spread,HOU,3.0,-110.0,0.5655065395699401,0.18756373309687435,-5.62500465799113,79.78803781205143,1,72.53457982913766
2019,3,2019_03_LA_CLE,spread,CLE,-4.0,-110.0,0.6256983240223464,0.31396648044692743,8.37499534200887,80.36831445068452,0,-80.36831445068452
2019,3,2019_03_MIA_DAL,spread,MIA,22.0,-110.0,0.5655065395699401,0.18756373309687435,-43.62500465799113,19.93134198376978,0,-19.93134198376978
2019,4,2019_04_CLE_BAL,spread,CLE,7.5,-110.0,0.5655065395699401,0.18756373309687435,-14.562505434322984,79.5659171992089,1,72.33265199928081
2019,4,2019_04_KC_DET,spread,DET,-7.5,-110.0,0.672,0.4112000000000001,15.437494565677016,80.14457841520314,1,72.85870765018467
2019,4,2019_04_MIN_CHI,spread,CHI,-1.0,-110.0,0.5655065395699401,0.18756373309687435,2.4374945656770155,80.72744807640461,1,73.38858916036783
2019,4,2019_04_NE_BUF,spread,BUF,-7.0,-110.0,0.672,0.4112000000000001,14.437494565677016,81.31455678968756,1,73.92232435426142
