season,week,game_id,bet_type,bet_line,pick,price,edge_pts,p_raw,won,p_cal,p_in,p_cal_season
2019,10,2019_10_ATL_NO,spread,14.0,ATL,-110,-27.50000621065484,0.0247484580095134,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_ATL_NO,spread,14.0,NO,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BUF_CLE,spread,3.0,BUF,-110,-5.500006210654839,0.3472123345812801,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BUF_CLE,spread,3.0,CLE,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_DET_CHI,spread,6.0,CHI,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_DET_CHI,spread,6.0,DET,-110,-11.500006210654838,0.2057009710339326,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,10.499993789345162,0.7733725140330632,1,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,2.4999937893451607,0.5708627105475483,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_MIN_DAL,spread,3.5,DAL,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_MIN_DAL,spread,3.5,MIN,-110,-6.500006210654839,0.3212213699418874,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_SEA_SF,spread,6.5,SEA,-110,-12.500006210654838,0.1859667214486079,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_SEA_SF,spread,6.5,SF,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_ARI_TB,spread,-5.5,TB,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_ARI_TB,spread,-5.5,TB,-110,-11.499993721148863,0.2057012250190669,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_ATL_NO,spread,-14.0,NO,-110,-0.4999937893451598,0.4857552665985489,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_ATL_NO,spread,-14.0,NO,-110,-28.499993721148865,0.0208895494009439,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BAL_CIN,spread,10.5,CIN,-110,-0.4999937893451598,0.4857552665985489,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BAL_CIN,spread,10.5,BAL,-110,20.50000627885113,0.928442111843594,1,0.6989247311827957,0.6989247311827957,0.6989247311827957
2019,10,2019_10_BAL_CIN,spread,-10.5,CIN,-110,21.49999378934516,0.9376957106739,0,0.6989247311827957,0.6989247311827957,0.6989247311827957
2019,10,2019_10_BAL_CIN,spread,-10.5,CIN,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BUF_CLE,spread,-3.0,CLE,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BUF_CLE,spread,-3.0,CLE,-110,-6.499993721148865,0.3212216894771305,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BUF_CLE,spread,3.0,BUF,-110,-5.500006210654839,0.3472123345812801,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_BUF_CLE,spread,3.0,CLE,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_CAR_GB,spread,-5.0,GB,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_CAR_GB,spread,-5.0,GB,-110,-10.499993721148863,0.2266274874338271,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_DET_CHI,spread,6.0,CHI,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_DET_CHI,spread,6.0,DET,-110,-11.500006210654838,0.2057009710339326,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_DET_CHI,spread,-6.0,CHI,-110,-12.499993721148863,0.1859669603500879,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_DET_CHI,spread,-6.0,CHI,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,10.499993789345162,0.7733725140330632,1,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,10,2019_10_KC_TEN,spread,-5.0,TEN,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,2.4999937893451607,0.5708627105475483,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_LAC_OAK,spread,-1.0,OAK,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_LA_PIT,spread,4.0,PIT,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_LA_PIT,spread,4.0,LA,-110,7.500006278851135,0.7039221405496158,0,0.603960396039604,0.603960396039604,0.603960396039604
2019,10,2019_10_LA_PIT,spread,-4.0,PIT,-110,8.499993789345162,0.7281217975236679,1,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,10,2019_10_LA_PIT,spread,-4.0,PIT,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_SEA_SF,spread,-6.5,SF,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_SEA_SF,spread,-6.5,SF,-110,-13.499993721148863,0.1674514629451563,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,10,2019_10_SEA_SF,spread,6.5,SEA,-110,-12.500006210654838,0.1859667214486079,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
