season,week,game_id,bet_type,pick,bet_line,price,p_cal,ev,edge_pts,stake,won,pnl
2019,1,2019_01_ATL_MIN,spread,ATL,3.5,-110.0,0.5630651548282231,0.1824368251392685,-6.422420361741601,60.0,0,-60.0
2019,1,2019_01_ATL_MIN,spread,MIN,3.5,-110.0,0.5500081784575162,0.15501717476078392,0.5733189255667952,59.64,1,54.21818181818182
2019,1,2019_01_BAL_MIA,spread,MIA,-7.0,-110.0,0.6291877472465597,0.3212942692177754,14.570899467691618,59.96530909090909,0,-59.96530909090909
2019,1,2019_01_BAL_MIA,spread,MIA,-7.0,-110.0,0.5635222788774157,0.183396785642573,0.5790339323319111,59.60551723636364,0,-59.60551723636364
2019,1,2019_01_BUF_NYJ,spread,BUF,2.5,-110.0,0.5547608767240593,0.1649978411205245,-4.423554006933459,59.24788413294546,1,53.861712848132235
2019,1,2019_01_BUF_NYJ,spread,NYJ,2.5,-110.0,0.5461291127718677,0.14687113682092223,0.5733657131690304,55.84326083638633,0,-55.84326083638633
2019,1,2019_01_CIN_SEA,spread,CIN,9.5,-110.0,0.6098818256534198,0.2807518338721815,-18.419192215902783,59.235994845015945,1,53.85090440455995
2019,1,2019_01_CIN_SEA,spread,SEA,9.5,-110.0,0.5730082564650174,0.20331733857653655,0.5694646614891692,59.559100271443306,0,-59.559100271443306
2019,1,2019_01_DEN_OAK,spread,OAK,-3.0,-110.0,0.561481754116427,0.1791116836444967,6.5733719016311305,23.43859846653986,1,21.30781678776351
2019,2,2019_02_ARI_BAL,spread,ARI,13.0,-110.0,0.6330140090573526,0.32932941902044055,-25.27120695568883,59.32959257054123,1,53.93599324594657
2019,2,2019_02_ARI_BAL,spread,BAL,13.0,-110.0,0.5863060532755758,0.23124271187870926,0.7094495635843678,59.653208530016904,0,-59.653208530016904
2019,2,2019_02_CHI_DEN,spread,DEN,-3.0,-110.0,0.5617998291728256,0.17977964126293378,6.716543034100857,59.295289278836805,1,53.90480843530619
2019,2,2019_02_CHI_DEN,spread,DEN,-3.0,-110.0,0.5484001741469325,0.15164036570855843,0.7208092810484938,59.61871812944864,1,54.19883466313512
2019,2,2019_02_CLE_NYJ,spread,NYJ,-6.5,-110.0,0.625486348575878,0.31352133200934396,13.714504681437488,59.94391113742745,0,-59.94391113742745
2019,2,2019_02_CLE_NYJ,spread,NYJ,-6.5,-110.0,0.5619263542537691,0.18004534393291527,0.7239349917415456,59.584247670602885,0,-59.584247670602885
2019,2,2019_02_IND_TEN,spread,IND,3.0,-110.0,0.5586009024139513,0.1730618950692978,-5.2790006826410245,59.22674218457927,1,53.84249289507206
2019,2,2019_02_IND_TEN,spread,TEN,3.0,-110.0,0.5483907741545692,0.15162062572459534,0.7166206495629441,59.5497971419497,0,-59.5497971419497
2019,2,2019_02_KC_OAK,spread,OAK,-7.0,-110.0,0.6294958577064821,0.3219413011836124,14.714846823885182,19.730832786366086,0,-19.730832786366086
2019,3,2019_03_BAL_KC,spread,BAL,4.5,-110.0,0.5706473121845725,0.19835935558760243,-8.132067403287788,59.074113362379805,0,-59.074113362379805
2019,3,2019_03_BAL_KC,spread,KC,4.5,-110.0,0.5545218055142456,0.16449579157991578,0.8597710968495687,58.71966868220553,1,53.381516983823204
2019,3,2019_03_CHI_WAS,spread,WAS,-5.0,-110.0,0.6135685311627099,0.2884939154416909,10.857848984188362,59.039957784108466,0,-59.039957784108466
2019,3,2019_03_CHI_WAS,spread,WAS,-5.0,-110.0,0.5564692056166803,0.16858533179502877,0.8667609149689088,58.68571803740382,0,-58.68571803740382
2019,3,2019_03_CIN_BUF,spread,BUF,5.5,-110.0,0.5583775937719682,0.17259294692113314,0.8577077729829954,58.33360372917939,0,-58.33360372917939
2019,3,2019_03_CIN_BUF,spread,CIN,5.5,-110.0,0.5787528039693453,0.21538088833562508,-10.13236007796322,57.98360210680431,1,52.71236555164028
2019,3,2019_03_DEN_GB,spread,DEN,7.0,-110.0,0.5906074419885277,0.24027562817590808,-13.131252650617242,58.29987630011416,0,-58.29987630011416
2019,3,2019_03_DEN_GB,spread,GB,7.0,-110.0,0.5641362339720754,0.18468609134135827,0.8561592838293519,57.950077042313474,1,52.681888220284975
2019,3,2019_03_HOU_LAC,spread,HOU,3.0,-110.0,0.5582771706152508,0.1723820582920268,-5.133793371663457,19.422056123878477,1,17.65641465807134
2019,4,2019_04_CLE_BAL,spread,BAL,7.5,-110.0,0.5663631614095774,0.18936263896011263,0.9991322882679584,58.3721068595836,0,-58.3721068595836
2019,4,2019_04_CLE_BAL,spread,CLE,7.5,-110.0,0.5941640667714116,0.2477445402199645,-13.985148756558235,58.0218742184261,1,52.74715838038736
2019,4,2019_04_KC_DET,spread,DET,-7.5,-110.0,0.5664003866173803,0.18944081189649875,1.0159966727087548,58.33835716870842,1,53.03487015337129
2019,4,2019_04_KC_DET,spread,DET,-7.5,-110.0,0.6340675647419111,0.33154188595801326,16.00072858377348,58.65656638962865,1,53.32415126329877
2019,4,2019_04_MIN_CHI,spread,CHI,-1.0,-110.0,0.541279292697945,0.1366865146656845,1.006563661739841,43.27285293271874,1,39.338957211562494
2019,4,2019_04_MIN_CHI,spread,CHI,-1.0,-110.0,0.5457668727952145,0.1461104328699505,3.004723215744569,54.606321662957406,1,49.64211060268855
2019,4,2019_04_NE_BUF,spread,BUF,-7.0,-110.0,0.5644843397195581,0.18541711341107214,1.0133895567621822,59.510397704093954,1,54.10036154917632
2019,4,2019_04_NE_BUF,spread,BUF,-7.0,-110.0,0.6301036708243523,0.32321770873113975,14.99915424364167,59.83499987338901,1,54.395454430353645
2019,4,2019_04_PHI_GB,spread,GB,3.5,-110.0,0.5509719892570477,0.15704117743980028,1.0031477609508244,40.752975849967605,0,-40.752975849967605
2019,5,2019_05_ATL_HOU,spread,ATL,4.0,-110.0,0.5659108965297912,0.18841288271256162,-6.84389014988759,59.91685474487133,0,-59.91685474487133
2019,5,2019_05_ATL_HOU,spread,HOU,4.0,-110.0,0.5532291872732914,0.161781293273912,1.1464080612740286,59.5573536164021,1,54.14304874218372
2019,5,2019_05_BUF_TEN,spread,BUF,3.5,-110.0,0.5617862733671631,0.17975117407104269,-5.846215280638321,59.8822119088552,1,54.43837446259563
2019,5,2019_05_BUF_TEN,spread,TEN,3.5,-110.0,0.5512905587641628,0.15771017340474192,1.1452632939784708,60.20884215563078,0,-60.20884215563078
2019,5,2019_05_CHI_OAK,spread,OAK,-6.5,-110.0,0.6264093185167066,0.31545956888508386,14.142107829113325,59.847589102696986,1,54.40689918426999
2019,5,2019_05_CHI_OAK,spread,OAK,-6.5,-110.0,0.5628879978327013,0.1820647954486727,1.1571963255998163,60.17403049780261,1,54.70366408891147
