"game_id","team","opponent","season","week","market_spread","pred_margin_ols","edge_margin_pts","p_cover","kelly_spread","edge_spread_ev","market_total","pred_total_ols_home","edge_total_pts","p_over","kelly_total","edge_total_ev"
"2021_10_ATL_DAL","DAL","ATL","2021","10","8.0","8.376101434580102","0.3761014345801019","0.5115401412108346","0.0","-0.023423366779315835","55.0","54.29529977260177","-0.7047002273982272","0.4783848390930257","0.0","-0.08671985264058735"
"2021_10_BAL_MIA","MIA","BAL","2021","10","-8.5","-8.783322234929994","-0.28332223492999375","0.4913061329712469","0.0","-0.06205192796398318","46.5","46.71483469803953","0.2148346980395317","0.5065925187246363","0.0","-0.032868827889330765"
"2021_10_BUF_NYJ","NYJ","BUF","2021","10","-13.0","-14.456626480519146","-1.4566264805191462","0.4553925981900472","0.0","-0.13061413072809175","47.0","48.13070833176532","1.1307083317653195","0.5346553270706249","0.022776186848312296","0.020705624407556633"
"2021_10_CAR_ARI","ARI","CAR","2021","10","7.0","7.555928831055746","0.5559288310557458","0.5170550720604477","0.0","-0.012894862430054499","42.0","41.5788719067483","-0.42112809325170275","0.48707873675168367","0.0","-0.07012241165587663"
"2021_10_CLE_NE","NE","CLE","2021","10","2.5","2.4613613407867727","-0.03863865921322729","0.4988142636828625","0.0","-0.04771822387817154","45.5","46.78060559076408","1.2806055907640825","0.5392355886925384","0.03239473625433062","0.029449760231209654"
"2021_10_DET_PIT","PIT","DET","2021","10","9.0","9.36906452251194","0.36906452251193933","0.5113242820592454","0.0","-0.023835461523258772","43.0","43.19362059667169","0.19362059667169262","0.5059415835900457","0.0","-0.0341115222371855"
"2021_10_JAX_IND","IND","JAX","2021","10","10.5","10.581821782705866","0.08182178270586604","0.5025109194665204","0.0","-0.040660971927552025","47.5","48.57451497935417","1.07451497935417","0.5329370657816553","0.01916783814147622","0.017425307401342016"
"2021_10_KC_LV","LV","KC","2021","10","-2.5","-2.5941020254219898","-0.09410202542198975","0.4971122347100406","0.0","-0.05096755191719521","53.5","53.85058336941219","0.3505833694121918","0.5107573521333566","0.0","-0.024917782290864665"
"2021_10_LA_SF","SF","LA","2021","10","-3.5","-3.886263146299535","-0.3862631462995352","0.48814815155798036","0.0","-0.06808080157112839","50.0","49.80347935579016","-0.1965206442098406","0.49396943015366734","0.0","-0.056967451524816914"
"2021_10_MIN_LAC","LAC","MIN","2021","10","3.0","2.946690925558477","-0.05330907444152322","0.4983640627600059","0.0","-0.0485776983672615","53.5","53.458965759018845","-0.041034240981154824","0.4987407487317129","0.0","-0.04785857060309351"
"2021_10_NO_TEN","TEN","NO","2021","10","3.0","3.2691543486993107","0.26915434869931065","0.5082591829779639","0.0","-0.0296870143147962","44.0","44.05713645911458","0.05713645911458087","0.5017533904544338","0.0","-0.04210716367789913"
"2021_10_PHI_DEN","DEN","PHI","2021","10","1.0","1.1559464966912392","0.15594649669123917","0.5047855506876323","0.0","-0.03631849414179289","44.5","45.47732746229739","0.9773274622973886","0.5299638678292629","0.012924122441452001","0.01174920221950182"
"2021_10_SEA_GB","GB","SEA","2021","10","3.0","3.132313832035792","0.13231383203579217","0.5040603592722769","0.0","-0.03770295048019867","49.5","49.99562803542289","0.49562803542288947","0.5152060837432462","0.0","-0.01642474921743914"
"2021_10_TB_WAS","WAS","TB","2021","10","-10.0","-10.564372275706496","-0.5643722757064964","0.4826860570554298","0.0","-0.07850843653054318","51.0","49.490096976622105","-1.5099030233778947","0.4537682632556751","0.0","-0.1337151337846203"
"2021_10_ATL_DAL","ATL","DAL","2021","10","-8.0","-7.25637014358943","0.7436298564105703","0.5228079756508528","0.0","-0.0019120464847355856","55.0","47.65859231371145","-7.341407686288548","0.28613086654750386","0.0","-0.4537501638638563"
"2021_10_ATL_DAL","DAL","ATL","2021","10","8.0","7.171977742135754","-0.8280222578642462","0.4746069332797602","0.0","-0.09393221828409415","55.0","47.65195933506648","-7.348040664933521","0.285957341693567","0.0","-0.45408143858500843"
"2021_10_BAL_MIA","BAL","MIA","2021","10","8.5","5.796620114749876","-2.703379885250124","0.41763310653214725","0.0","-0.20270043298408252","46.5","46.695425229449455","0.19542522944945517","0.5059969577224825","0.0","-0.034005807984351544"
"2021_10_BAL_MIA","MIA","BAL","2021","10","-8.5","-5.340973061551066","3.1590269384489336","0.5959981039070732","0.1515960182048537","0.13781456200441244","46.5","46.69795881182648","0.19795881182648145","0.506074699064366","0.0","-0.03385739269530136"
"2021_10_BUF_NYJ","BUF","NYJ","2021","10","13.0","11.109068494447802","-1.8909315055521976","0.44217532011938315","0.0","-0.15584711613572305","47.0","46.98103595427401","-0.018964045725986978","0.4994180340796701","0.0","-0.04656557130244798"
"2021_10_BUF_NYJ","NYJ","BUF","2021","10","-13.0","-11.21921722960111","1.7807827703988899","0.5544779983908116","0.06440379662070433","0.05854890601882212","47.0","46.98004655123998","-0.019953448760020365","0.4993876714442577","0.0","-0.04662353633368976"
"2021_10_CAR_ARI","ARI","CAR","2021","10","7.0","9.839635072751207","2.839635072751207","0.5864543039828883","0.13155403836406546","0.11959458033096859","42.0","43.59864290552221","1.5986429055222118","0.5489355751125562","0.05276470773636798","0.04796791612397089"
"2021_10_CAR_ARI","CAR","ARI","2021","10","-7.0","-9.943365610659477","-2.9433656106594768","0.4104402103291997","0.0","-0.2164323257351642","42.0","43.601150982743135","1.6011509827431354","0.549011961981587","0.0529251201613326","0.048113745601211455"
"2021_10_CLE_NE","CLE","NE","2021","10","-2.5","-4.103083837661584","-1.6030838376615844","0.45092917155742934","0.0","-0.1391352179358168","45.5","47.751231248576005","2.251231248576005","0.568741740423538","0.09435765488942974","0.08577968626311794"
"2021_10_CLE_NE","NE","CLE","2021","10","2.5","4.012233561026836","1.5122335610268358","0.5463027744620899","0.04723582637038868","0.04294166033671698","45.5","47.75175388038059","2.2517538803805905","0.5687575401342454","0.09439083428191529","0.08580984934719571"
"2021_10_DET_PIT","DET","PIT","2021","10","-9.0","-8.093250039419962","0.9067499605800382","0.5278036765871854","0.008387720833089352","0.007625200757353956","43.0","42.90561473045554","-0.09438526954446047","0.497103542780284","0.0","-0.05098414560127601"
"2021_10_DET_PIT","PIT","DET","2021","10","9.0","8.285520817817085","-0.7144791821829148","0.47808519054733806","0.0","-0.08729190895508199","43.0","43.1153683639834","0.1153683639834","0.5035403626221692","0.0","-0.03869567135767704"
"2021_10_JAX_IND","IND","JAX","2021","10","10.5","9.937205926105449","-0.5627940738945512","0.4827344432129437","0.0","-0.07841606295710757","47.5","46.48986774915028","-1.010132250849722","0.4690323603271853","0.0","-0.10457458482991894"
"2021_10_JAX_IND","JAX","IND","2021","10","-10.5","-10.027842502780468","0.4721574972195324","0.51448632186272","0.0","-0.01779884008026178","47.5","46.50593019277716","-0.9940698072228429","0.46952382013074917","0.0","-0.10363634338675154"
"2021_10_KC_LV","KC","LV","2021","10","2.5","-3.1894091436195824","-5.689409143619582","0.33082114926984896","0.0","-0.3684323513939247","53.5","44.9301074892603","-8.569892510739699","0.25487645000754033","0.0","-0.5134176863492412"
"2021_10_KC_LV","LV","KC","2021","10","-2.5","3.0921633727512","5.5921633727512","0.6664627040150657","0.2995716784316379","0.27233788948330717","53.5","44.93214074759829","-8.56785925240171","0.25492666287829835","0.0","-0.5133218254141577"
"2021_10_LA_SF","LA","SF","2021","10","3.5","2.476463479239472","-1.023536520760528","0.4686222682879421","0.0","-0.10535748781392862","50.0","47.952944792462034","-2.0470552075379658","0.43743888546174337","0.0","-0.1648894004821263"
"2021_10_LA_SF","SF","LA","2021","10","-3.5","-2.566301200323005","0.933698799676995","0.5286286095012714","0.010120079952669987","0.009200072684245442","50.0","47.953816549906406","-2.0461834500935936","0.4374653083569402","0.0","-0.16483895677311416"
"2021_10_MIN_LAC","LAC","MIN","2021","10","3.0","0.9916694053635238","-2.008330594636476","0.4386128926258336","0.0","-0.1626481140779541","53.5","47.089695232895","-6.4103047671050035","0.3109708358899173","0.0","-0.4063284042101579"
"2021_10_MIN_LAC","MIN","LAC","2021","10","-3.0","-1.0827833283134238","1.9172166716865762","0.5586227094495284","0.07310768984400963","0.06646153622182693","53.5","47.09292350410984","-6.407076495890159","0.3110585691770904","0.0","-0.4061609133891911"
"2021_10_NO_TEN","NO","TEN","2021","10","-3.0","-4.148486839512724","-1.1484868395127243","0.46480118073077814","0.0","-0.11265229133215082","44.0","48.316206246715126","4.316206246715126","0.6300613603718133","0.22312885678080785","0.20284441525527985"
