"game_id","team","edge_margin_pts","p_cover","kelly_spread","edge_spread_ev","source"
"2025_04_CAR_NE","CAR","5.603224360756295","0.6667720891903711","0.3002213872997793","0.27292853390889027",
"2025_04_CIN_DEN","CIN","4.625816522342948","0.6390168235748264","0.2419353295071353","0.21994120864285027",
"2025_04_WAS_ATL","WAS","4.2526595741952535","0.6282143338050848","0.21925010099067815","0.19931827362788923",
"2025_04_CLE_DET","DET","4.20828541389824","0.6269228140895438","0.2165379095880419","0.19685264508003808",
"2025_04_BAL_KC","BAL","3.8221132922964873","0.6156243779535423","0.19281119370243885","0.1752829033658535",
"2025_04_PHI_TB","TB","3.6833972305269147","0.6115412200136422","0.18423656202864858","0.1674877836624078",
"2025_04_IND_LA","IND","3.6740859110946835","0.6112666903559933","0.183660049747586","0.16696368158871455",
"2025_04_TEN_HOU","TEN","3.458224995919619","0.6048870601162606","0.1702628262441472","0.15478438749467927",
"2025_04_GB_DAL","DAL","3.4556322062846645","0.6048102569642543","0.17010153962493393","0.15463776329539447",
"2025_04_JAX_SF","JAX","2.788854953438359","0.5849320615224766","0.12835732919720083","0.11668848108836438",
"2025_04_SEA_ARI","ARI","2.2195550634784107","0.5677839314890811","0.09234625612707038","0.08395114193370035",
"2025_04_NO_BUF","NO","1.9040107886048183","0.5582218023886978","0.07226578501626534","0.06569616819660484",
"2025_04_CHI_LV","LV","1.6526921648123976","0.5505813121323967","0.05622075547803301","0.05110977770730274",
"2025_04_CLE_DET","DET","1.1806990701274618","0.5361833850326165","0.025985108568494727","0.02362282597135884",
"2025_04_JAX_SF","SF","-2.8739637381116383","0.41251735514846116","0.0","-0.21246686744384696",
"2025_04_IND_LA","LA","-3.761576788961831","0.38615598829790787","0.0","-0.2627931132494486",
"2025_04_BAL_KC","KC","-0.4711561518182319","0.48554438707425696","0.0","-0.07305162467641857",
"2025_04_NO_BUF","BUF","-1.9885245157132871","0.43921355949267904","0.0","-0.16150138642306733",
"2025_04_WAS_ATL","ATL","-4.33482135424763","0.36939814453395237","0.0","-0.29478536043518183",
"2025_04_LAC_NYG","LAC","-0.6048346857145095","0.48144560735715913","0.0","-0.0808765677726962",
"2025_04_NYJ_MIA","NYJ","0.5230058051419644","0.5160456044125042","0.0","-0.014822027939764615",
"2025_04_NYJ_MIA","MIA","-0.6174819145170429","0.4810579195477746","0.0","-0.08161669904515756",
"2025_04_SEA_ARI","SEA","-1.7961518881778242","0.44505479848008916","0.0","-0.1503499301743752",
"2025_04_PHI_TB","PHI","-3.795385808174835","0.3851613736965515","0.0","-0.2646919229429471",
"2025_04_MIN_PIT","MIN","0.6942680965121726","0.5212954841518767","0.0","-0.004799530255508222",
