game_id,team,opponent,season,week,market_spread,pred_margin_ols,edge_margin_pts,p_cover,kelly_spread,edge_spread_ev,market_total,pred_total_ols_home,edge_total_pts,p_over,kelly_total,edge_total_ev
2025_04_BAL_KC,KC,BAL,2025,4,-2.5,-2.971156151818232,-0.4711561518182319,0.48554438707425696,0.0,-0.07305162467641857,48.5,49.05974974768884,0.5597497476888407,0.5171722199406608,0.0,-0.012671216476920377
2025_04_CAR_NE,NE,CAR,2025,4,5.5,4.7821930562850365,-0.7178069437149635,0.4779832234780489,0.0,-0.08748657336008847,42.5,41.509774616864505,-0.9902253831354955,0.4696414542232693,0.0,-0.10341176921012224
2025_04_CHI_LV,LV,CHI,2025,4,1.5,1.7980792595719044,0.2980792595719044,0.509146615414126,0.0,-0.027992825118486775,47.5,48.74229876229647,1.2422987622964712,0.5380655555847302,0.02993766672793346,0.02721606066175769
2025_04_CIN_DEN,DEN,CIN,2025,4,7.5,7.301751907831635,-0.19824809216836492,0.493916424569457,0.0,-0.05706864400376399,44.5,44.06418113513066,-0.43581886486933996,0.48662815312689606,0.0,-0.07098261675774387
2025_04_CLE_DET,DET,CLE,2025,4,10.0,11.180699070127462,1.1806990701274618,0.5361833850326165,0.025985108568494727,0.02362282597135884,44.5,44.56092258344245,0.06092258344244783,0.5018695773387889,0.0,-0.04188535235322122
2025_04_GB_DAL,DAL,GB,2025,4,-7.0,-7.473785208634434,-0.47378520863443363,0.4854637601933449,0.0,-0.07320554872179608,47.5,48.2906972497063,0.7906972497062981,0.5242498599470976,0.0009247058889049753,0.0008406417171863412
2025_04_IND_LA,LA,IND,2025,4,3.5,2.9983692154596366,-0.5016307845403634,0.4846098401428757,0.0,-0.07483575972723722,49.5,50.39479441185863,0.8947944118586335,0.5274376659895378,0.007619098578029321,0.006926453252753928
2025_04_JAX_SF,SF,JAX,2025,4,3.5,3.3963504583803554,-0.10364954161964457,0.4968192502769648,0.0,-0.051526885834885405,45.5,46.40539337225777,0.9053933722577696,0.5277621467782838,0.00830050823439602,0.007545916576723655
2025_04_LAC_NYG,NYG,LAC,2025,4,-6.0,-6.721040680339895,-0.721040680339895,0.4778841388384677,0.0,-0.08767573494474351,43.5,42.92893432732184,-0.5710656726781593,0.4824808467514169,0.0,-0.07890020165638595
2025_04_MIN_PIT,PIT,MIN,2025,4,-2.5,-3.069077029268355,-0.5690770292683549,0.4825418153288088,0.0,-0.07878380709954685,41.5,42.30411156060947,0.8041115606094706,0.52466074283714,0.0017875599579940894,0.001625054507267354
2025_04_NO_BUF,BUF,NO,2025,4,15.5,16.182821204627967,0.6828212046279667,0.5209446958356361,0.0,-0.005469217041058405,48.5,49.38497945650529,0.8849794565052918,0.5271371707993403,0.006988058678614645,0.006352780616922404
2025_04_NYJ_MIA,MIA,NYJ,2025,4,2.5,2.3802279351283637,-0.11977206487163627,0.4963245027146693,0.0,-0.05247140390835858,44.5,44.52708556875832,0.02708556875831647,0.5008311977498917,0.0,-0.04386771338657036
2025_04_PHI_TB,TB,PHI,2025,4,-3.5,-3.466137354375184,0.03386264562481589,0.5010391712145478,0.0,-0.043470673135863336,44.5,43.79641212113704,-0.7035878788629617,0.4784189246602472,0.0,-0.08665478019407347
2025_04_SEA_ARI,ARI,SEA,2025,4,-1.5,-1.300888451910313,0.199111548089687,0.5061100699572657,0.0,-0.03378986644522003,43.5,45.73090019578971,2.230900195789708,0.5681270261270716,0.09306675486685019,0.08460614078804563
2025_04_TEN_HOU,HOU,TEN,2025,4,7.5,7.585803708543194,0.08580370854319419,0.5026331137398602,0.0,-0.040427691951176015,39.5,40.30319147217136,0.8031914721713633,0.5246325611862904,0.0017283784912098866,0.0015712531738271696
2025_04_WAS_ATL,ATL,WAS,2025,4,2.5,2.031904652381686,-0.46809534761831406,0.48563825535848215,0.0,-0.07287242158835228,43.5,41.88175481789681,-1.6182451821031876,0.4504674596472582,0.0,-0.14001666794614342
