season,week,bankroll,bets
2019,1,10148.469587969039,7
2019,2,10142.983199270753,7
2019,3,9945.739649901112,7
2019,4,10406.590065759723,7
2019,5,10520.84527752746,7
2019,6,10515.157577906673,7
2019,7,10193.190262560891,7
2019,8,10344.528138398138,7
2019,9,10659.740759675702,7
2019,10,10818.005491520285,7
2019,11,10327.760065537774,7
2019,12,10282.836330624572,7
2019,13,10555.784440390582,7
2019,14,10671.677675253328,7
2019,15,10464.152971619087,7
2019,16,10299.919448121218,7
2019,17,10452.841927778902,7
2019,18,10428.23057239103,6
2019,19,10403.677164766857,6
2019,20,10387.340352162395,4
2019,21,10221.807696310334,2
2020,1,10062.348704802287,7
2020,2,10212.237958581476,7
2020,3,10364.360602777018,7
2020,4,10319.032796938845,7
2020,5,10313.953096883264,7
2020,6,10268.598960825742,7
2020,7,10581.499215047237,7
2020,8,10696.907576809332,7
2020,9,10979.532387995117,7
2020,10,10974.125529202856,7
2020,11,11093.816115891732,7
2020,12,11088.35501702235,7
2020,13,11039.331916095136,7
2020,14,10867.119643416734,7
2020,15,11154.77527540131,7
2020,16,10980.49753692945,7
2020,17,10766.710309414335,7
2020,18,10884.137876618855,7
2020,19,11002.58340703121,7
2020,20,11082.476379740929,1
2020,21,11244.006916277114,2
2021,1,11586.627947060211,7
2021,2,11713.838937538358,7
2021,3,11842.44659287641,7
2021,4,11790.934268027058,7
2021,5,11561.644158823583,7
2021,6,11336.812895118135,7
2021,7,11461.281135907666,7
2021,8,11810.522824045987,7
2021,9,11804.137908726389,7
2021,10,11752.792219155228,7
2021,11,12110.916668445394,7
2021,12,12058.236551312872,7
2021,13,12051.717718875829,7
2021,14,11682.701927100681,7
2021,15,11631.884460281879,7
2021,16,11804.582569594037,7
2021,17,11575.027051349549,7
2021,18,11702.110674189715,7
2021,19,11300.565541664428,7
2021,20,11468.344572643236,7
2021,21,11805.62636112848,4
2022,1,12165.36074256456,7
2022,2,12158.783997459295,7
2022,3,12339.304962490029,7
2022,4,12145.641171736886,7
2022,5,12708.427247171712,7
2022,6,12897.108742883922,7
2022,7,12890.136405721732,7
2022,8,12834.066835242658,7
2022,9,12632.637821076316,7
2022,10,12820.194074302046,7
2022,11,12813.263318164936,7
2022,12,12806.33630888067,7
2022,13,12605.34252172842,7
2022,14,12989.445402518768,7
2022,15,12982.423147011606,7
2022,16,13124.95874191321,7
2022,17,12918.964217005663,7
2022,18,12716.202749445289,7
2022,19,13053.742256276242,7
2022,20,13247.55062970058,7
2022,21,13131.248118595604,3
2023,1,13124.149202779012,7
2023,2,13319.002905237094,7
2023,3,13465.233850038117,7
2023,4,13003.189073558347,7
2023,5,13145.952660080662,7
2023,6,12939.62863835077,7
2023,7,13283.098772888785,7
2023,8,13024.791576956479,7
2023,9,12771.50750165372,7
2023,10,12911.727428159316,7
2023,11,12904.74718795431,7
2023,12,12702.208854820687,7
2023,13,12841.66794309598,7
2023,14,13182.537804154823,7
2023,15,12730.193433385532,7
2023,16,12919.198090767624,7
2023,17,12716.432952588893,7
2023,18,12280.082460155201,7
2023,19,12273.443695064623,7
2023,20,12455.667007901371,7
2023,21,12627.572977180285,4
2024,1,12429.384857330206,7
2024,2,12808.126055510502,7
2024,3,12801.201823494228,7
2024,4,12991.260739518499,7
2024,5,12787.364587415463,7
2024,6,12538.697589871108,7
2024,7,12341.904357696087,7
2024,8,12335.2321709199,7
2024,9,11957.53535022911,7
2024,10,12135.068384886486,7
2024,11,11944.61006072562,7
2024,12,11757.140955256538,7
2024,13,11886.224028687655,7
2024,14,11879.798188356654,7
2024,15,11648.78000421582,7
2024,16,11422.254270246069,7
2024,17,11242.98347114948,7
2024,18,11236.905374652619,7
2024,19,11060.543602429232,7
2024,20,11528.94227904759,7
2024,21,11603.667813976994,3
