season,week,bankroll,bets
2019,1,10056.910148141005,5
2019,2,10114.144172778153,5
2019,3,10017.475915466304,5
2019,4,10387.084941467969,5
2019,5,10607.026557263256,5
2019,6,10505.64746329,5
2019,7,10247.468381941611,5
2019,8,10305.786876310269,5
2019,9,10524.007043988728,5
2019,10,10583.89932397977,5
2019,11,10167.263073434831,5
2019,12,10070.087120022445,5
2019,13,10283.316456728344,5
2019,14,10341.83896302167,5
2019,15,10242.994460424425,5
2019,16,10145.094686876686,5
2019,17,10359.912273370062,5
2019,18,10418.870687590595,5
2019,19,10478.164635019873,5
2019,20,10461.710855325446,4
2019,21,10294.99303113498,2
2020,1,10041.990838499618,5
2020,2,10099.139957124584,5
2020,3,10156.614312230255,5
2020,4,10059.540136800324,5
2020,5,9963.393770111152,5
2020,6,10020.095591655574,5
2020,7,10232.266381369025,5
2020,8,10448.929787305133,5
2020,9,10670.180938489673,5
2020,10,10568.19823200403,5
2020,11,10791.974836151388,5
2020,12,10853.392124817328,5
2020,13,10915.158940182908,5
2020,14,10646.916005342833,5
2020,15,10872.359421146926,5
2020,16,10605.168295873611,5
2020,17,10344.54346358781,5
2020,18,10403.414413684197,5
2020,19,10462.620399229703,5
2020,20,10538.712183951373,1
2020,21,10692.55996247808,2
2021,1,10918.969867507994,5
2021,2,11150.17389529949,5
2021,3,11386.27355913684,5
2021,4,11451.07301063929,5
2021,5,11341.626748713483,5
2021,6,11062.903254020643,5
2021,7,11125.862400326236,5
2021,8,11361.447279744576,5
2021,9,11252.857636339118,5
2021,10,11145.305863406022,5
2021,11,11381.302448968147,5
2021,12,11272.523035219821,5
2021,13,11336.675130805548,5
2021,14,11058.07332344013,5
2021,15,11121.004982539238,5
2021,16,11356.487008431042,5
2021,17,11247.94477395861,5
2021,18,11486.114689955368,5
2021,19,11203.84036566672,5
2021,20,11267.601587162548,5
2021,21,11598.979563398349,4
2022,1,11844.582475199493,5
2022,2,11911.990169532692,5
2022,3,12164.220933022947,5
2022,4,11865.281967406525,5
2022,5,12303.068426612013,5
2022,6,12373.085371286757,5
2022,7,12254.826764331929,5
2022,8,12324.569164991979,5
2022,9,12021.689598915635,5
2022,10,12090.105212513583,5
2022,11,12158.910180382034,5
2022,12,12042.69860203492,5
2022,13,11746.746080032508,5
2022,14,12180.158989029513,5
2022,15,12249.476454274181,5
2022,16,12508.85333038343,5
2022,17,12201.44493191536,5
2022,18,12084.826817905345,5
2022,19,12340.71731576053,5
2022,20,12410.948520821154,5
2022,21,12301.990682612935,3
2023,1,12372.001493830614,5
2023,2,12633.972779760066,5
2023,3,12705.872906010625,5
2023,4,12393.622699056137,5
2023,5,12464.15498943684,5
2023,6,12345.025963677394,5
2023,7,12606.42605550164,5
2023,8,12485.937241332276,5
2023,9,12179.092011849269,5
2023,10,12248.403404910998,5
2023,11,12318.10925013743,5
2023,12,12200.376090094816,5
2023,13,12269.808611161145,5
2023,14,12529.616011085642,5
2023,15,12221.697364215579,5
2023,16,12291.251224968786,5
2023,17,12173.774766674094,5
2023,18,11694.552911050992,5
2023,19,11761.106784912068,5
2023,20,11828.039417855223,5
2023,21,11991.283231254038,4
2024,1,11876.673785996374,5
2024,2,12128.156741752044,5
2024,3,12197.17826143709,5
2024,4,12266.592583613154,5
2024,5,12149.35180595014,5
2024,6,12033.231583963316,5
2024,7,11737.511716448633,5
2024,8,11625.327750764185,5
2024,9,11339.632228469713,5
2024,10,11579.743582993926,5
2024,11,11295.168303749688,5
2024,12,11017.586537701707,5
2024,13,11080.287785903403,5
2024,14,10974.38538897496,5
2024,15,10704.68694839913,5
2024,16,10441.616418751422,5
2024,17,10185.010917357482,5
2024,18,10242.973965369942,5
2024,19,10145.074387708399,5
2024,20,10519.391340880808,5
2024,21,10587.573410497693,3
